,Date_format,IsOfficialReport,Latitude,Longitude,震度,YouWin
0,2019-05-08 23:48:47,1.0,24.82,122.49,2.0,
1,2019-05-08 23:49:28,0.0,37.404,-122.075,,1.0
2,2019-05-08 23:56:55,0.0,25.048,121.532,,0.0
4,2019-05-10 21:49:30,1.0,24.5,121.92,3.0,
5,2019-05-10 21:50:07,0.0,25.048,121.532,,1.0
7,2019-05-13 16:55:21,1.0,24.75,121.9,3.0,
8,2019-05-13 16:55:49,0.0,25.048,121.532,,1.0
9,2019-05-13 16:55:51,0.0,25.048,121.532,,0.0
10,2019-05-13 16:55:54,0.0,25.048,121.532,,0.0
11,2019-05-13 16:55:59,0.0,25.048,121.532,,0.0
12,2019-05-13 16:56:02,0.0,25.048,121.532,,0.0
13,2019-05-13 16:56:04,0.0,25.048,121.532,,0.0
14,2019-05-13 16:56:10,0.0,25.048,121.532,,0.0
15,2019-05-13 16:56:21,0.0,25.048,121.532,,0.0
16,2019-05-13 16:56:22,0.0,25.048,121.532,,0.0
17,2019-05-13 16:56:28,0.0,24.807,120.971,,0.0
18,2019-05-13 16:56:44,0.0,25.048,121.532,,0.0
19,2019-05-13 16:56:46,0.0,24.147,120.684,,0.0
20,2019-05-13 16:56:46,0.0,,,,0.0
21,2019-05-13 16:56:52,0.0,25.048,121.532,,0.0
22,2019-05-13 16:57:00,0.0,24.147,120.684,,0.0
23,2019-05-13 16:57:09,0.0,25.048,121.532,,0.0
24,2019-05-13 16:57:22,0.0,25.048,121.532,,0.0
25,2019-05-13 16:57:44,0.0,25.048,121.532,,0.0
26,2019-05-13 16:57:45,0.0,24.071,120.542,,0.0
27,2019-05-13 16:58:44,0.0,25.048,121.532,,0.0
28,2019-05-13 16:59:08,0.0,25.048,121.532,,0.0
29,2019-05-13 17:00:50,0.0,23.906,120.687,,0.0
30,2019-05-13 17:01:31,0.0,25.048,121.532,,0.0
31,2019-05-13 17:03:10,0.0,22.615,120.314,,0.0
32,2019-05-13 17:03:39,0.0,25.048,121.532,,0.0
33,2019-05-13 17:04:36,0.0,25.048,121.532,,0.0
35,2019-05-19 00:38:34,1.0,24.03,122.19,1.0,
36,2019-05-19 00:39:45,0.0,24.147,120.684,,1.0
37,2019-05-19 00:39:45,0.0,,,,1.0
38,2019-05-19 00:40:12,0.0,25.048,121.532,,0.0
39,2019-05-19 00:40:40,0.0,22.615,120.314,,0.0
44,2019-05-22 09:37:24,1.0,23.96,121.64,4.0,
45,2019-05-22 09:37:45,0.0,37.404,-122.075,,1.0
46,2019-05-23 14:12:49,1.0,24.02,121.55,5.0,
47,2019-05-23 14:13:10,0.0,37.404,-122.075,,1.0
48,2019-05-23 14:14:38,0.0,25.048,121.532,,0.0
49,2019-05-23 14:16:22,0.0,22.615,120.314,,0.0
50,2019-05-23 14:19:43,0.0,25.048,121.532,,0.0
52,2019-05-27 22:06:26,1.0,24.49,121.65,2.0,
53,2019-05-27 22:07:09,0.0,25.048,121.532,,1.0
54,2019-05-27 22:07:09,0.0,,,,1.0
56,2019-05-31 23:53:18,1.0,22.92,120.58,4.0,
57,2019-05-31 23:53:37,0.0,24.807,120.971,,1.0
58,2019-05-31 23:59:26,0.0,22.615,120.314,,0.0
64,2019-06-04 17:46:18,1.0,22.84,121.61,5.0,
65,2019-06-04 17:46:46,0.0,24.807,120.971,,1.0
66,2019-06-04 17:49:37,0.0,22.615,120.314,,0.0
67,2019-06-04 17:49:37,0.0,,,,0.0
68,2019-06-04 17:50:10,0.0,25.048,121.532,,0.0
69,2019-06-04 17:51:38,0.0,25.048,121.532,,0.0
70,2019-06-04 17:54:05,0.0,25.048,121.532,,0.0
73,2019-06-06 03:27:20,1.0,23.83,121.58,4.0,
74,2019-06-06 03:27:46,0.0,24.147,120.684,,1.0
75,2019-06-26 05:08:34,1.0,23.38,120.5,3.0,
76,2019-06-26 05:09:08,0.0,23.463,120.582,,1.0
77,2019-06-26 05:09:14,0.0,22.991,120.213,,0.0
78,2019-06-26 05:09:32,0.0,24.071,120.542,,0.0
79,2019-06-30 00:20:06,1.0,25.07,122.18,2.0,
80,2019-06-30 00:21:12,0.0,25.048,121.532,,1.0
81,2019-06-30 03:44:12,1.0,22.32,122.36,3.0,
82,2019-06-30 03:45:30,0.0,22.671,120.488,,1.0
83,2019-06-30 03:53:24,0.0,22.991,120.213,,0.0
85,2019-07-07 11:51:03,1.0,23.29,120.13,3.0,
86,2019-07-07 11:51:49,0.0,23.482,120.45,,1.0
87,2019-07-07 11:51:58,0.0,22.991,120.213,,0.0
88,2019-07-07 11:52:22,0.0,25.048,121.532,,0.0
89,2019-07-07 11:52:22,0.0,,,,0.0
91,2019-07-12 05:10:07,1.0,24.07,121.65,4.0,
92,2019-07-12 05:10:38,0.0,24.071,120.542,,1.0
93,2019-07-16 23:56:01,1.0,22.96,120.16,3.0,
94,2019-07-16 23:56:24,0.0,22.991,120.213,,1.0
95,2019-07-16 23:57:17,0.0,25.048,121.532,,0.0
96,2019-07-19 00:30:44,1.0,23.43,120.38,3.0,
97,2019-07-19 00:31:00,0.0,25.048,121.532,,1.0
98,2019-07-19 00:37:09,0.0,24.989,121.318,,0.0
99,2019-07-26 14:39:56,1.0,24.75,121.84,2.0,
100,2019-07-26 14:40:29,0.0,25.048,121.532,,1.0
101,2019-07-26 14:46:49,0.0,25.048,121.532,,0.0
102,2019-07-26 14:46:49,0.0,,,,0.0
104,2019-08-03 06:24:43,1.0,23.69,121.54,4.0,
105,2019-08-03 06:25:51,0.0,25.048,121.532,,1.0
106,2019-08-03 06:25:51,0.0,,,,1.0
107,2019-08-05 11:39:38,1.0,23.3,120.45,3.0,
108,2019-08-05 11:39:56,0.0,25.048,121.532,,1.0
109,2019-08-05 11:40:06,0.0,24.071,120.542,,0.0
110,2019-08-06 09:19:48,1.0,23.67,121.53,5.0,
111,2019-08-06 09:20:36,0.0,23.981,121.612,,1.0
112,2019-08-07 01:00:41,1.0,25.15,121.55,3.0,
113,2019-08-07 01:01:01,0.0,25.048,121.532,,1.0
114,2019-08-07 01:01:11,0.0,25.048,121.532,,0.0
115,2019-08-07 01:01:12,0.0,25.048,121.532,,0.0
116,2019-08-07 01:01:18,0.0,25.048,121.532,,0.0
117,2019-08-07 01:01:19,0.0,25.048,121.532,,0.0
118,2019-08-07 01:01:19,0.0,,,,0.0
119,2019-08-07 01:01:27,0.0,25.048,121.532,,0.0
120,2019-08-07 01:01:38,0.0,25.048,121.532,,0.0
121,2019-08-07 01:01:41,0.0,25.048,121.532,,0.0
122,2019-08-07 01:01:47,0.0,25.048,121.532,,0.0
123,2019-08-07 01:01:47,0.0,,,,0.0
124,2019-08-07 01:01:58,0.0,25.048,121.532,,0.0
125,2019-08-07 01:02:21,0.0,25.048,121.532,,0.0
126,2019-08-07 01:02:59,0.0,25.048,121.532,,0.0
127,2019-08-07 01:03:06,0.0,25.048,121.532,,0.0
128,2019-08-07 01:03:32,0.0,23.57,119.57,,0.0
129,2019-08-07 01:03:48,0.0,25.048,121.532,,0.0
130,2019-08-07 01:03:48,0.0,,,,0.0
131,2019-08-07 01:04:15,0.0,22.991,120.213,,0.0
132,2019-08-07 01:08:46,0.0,35.69,139.69,,0.0
133,2019-08-07 01:09:27,0.0,25.048,121.532,,0.0
134,2019-08-07 01:10:06,0.0,25.048,121.532,,0.0
135,2019-08-07 01:10:20,0.0,25.048,121.532,,0.0
143,2019-08-08 05:28:03,1.0,24.44,121.91,6.0,
144,2019-08-08 05:28:28,0.0,25.048,121.532,,1.0
145,2019-08-08 05:36:56,0.0,25.048,121.532,,0.0
166,2019-08-16 05:41:40,1.0,23.57,120.72,4.0,
167,2019-08-16 05:42:00,0.0,24.071,120.542,,1.0
168,2019-08-16 05:42:27,0.0,24.147,120.684,,0.0
169,2019-08-16 05:42:42,0.0,25.048,121.532,,0.0
170,2019-08-16 05:42:43,0.0,23.5,121.0,,0.0
171,2019-08-16 05:42:55,0.0,24.147,120.684,,0.0
172,2019-08-16 05:43:01,0.0,25.048,121.532,,0.0
173,2019-08-16 05:43:07,0.0,25.048,121.532,,0.0
174,2019-08-16 05:43:18,0.0,24.071,120.542,,0.0
175,2019-08-16 05:44:15,0.0,24.147,120.684,,0.0
180,2019-08-17 22:52:10,1.0,23.72,121.53,4.0,
181,2019-08-17 22:52:42,0.0,24.147,120.684,,1.0
182,2019-08-18 12:05:14,1.0,23.74,121.54,5.0,
183,2019-08-18 12:05:33,0.0,24.147,120.684,,1.0
184,2019-08-30 14:46:19,1.0,22.85,120.66,3.0,
185,2019-08-30 14:47:14,0.0,22.991,120.213,,1.0
186,2019-09-13 23:36:05,1.0,23.75,120.62,3.0,
187,2019-09-13 23:36:27,0.0,22.991,120.213,,1.0
191,2019-09-21 17:34:48,1.0,24.46,120.94,3.0,
192,2019-09-21 17:38:19,0.0,24.564,120.824,,1.0
195,2019-10-01 01:12:58,1.0,22.91,120.59,4.0,
196,2019-10-01 01:13:32,0.0,22.615,120.314,,1.0
197,2019-10-01 01:18:38,0.0,25.048,121.532,,0.0
199,2019-10-01 13:27:42,1.0,23.04,121.11,2.0,
202,2019-10-05 22:34:23,1.0,24.33,121.71,3.0,
203,2019-10-05 22:35:25,0.0,25.048,121.532,,1.0
204,2019-10-08 01:17:06,1.0,24.66,122.36,3.0,
205,2019-10-08 01:17:49,0.0,25.048,121.532,,1.0
206,2019-10-08 01:17:49,0.0,,,,1.0
207,2019-10-08 01:23:38,0.0,25.048,121.532,,0.0
212,2019-10-17 19:44:33,1.0,24.03,122.5,3.0,
213,2019-10-17 19:45:29,0.0,25.048,121.532,,1.0
214,2019-10-17 19:45:39,0.0,24.071,120.542,,0.0
215,2019-10-17 19:45:43,0.0,25.048,121.532,,0.0
216,2019-10-17 19:45:44,0.0,25.048,121.532,,0.0
217,2019-10-17 19:46:00,0.0,24.807,120.971,,0.0
218,2019-10-17 19:46:25,0.0,24.147,120.684,,1.0
219,2019-10-17 19:46:31,0.0,24.147,120.684,,0.0
220,2019-10-17 19:46:41,0.0,25.048,121.532,,0.0
221,2019-10-17 19:46:43,0.0,25.048,121.532,,0.0
222,2019-10-17 19:46:52,0.0,25.048,121.532,,0.0
223,2019-10-17 19:46:58,0.0,25.048,121.532,,0.0
224,2019-10-17 19:47:13,0.0,25.048,121.532,,0.0
225,2019-10-17 19:47:57,0.0,25.048,121.532,,0.0
226,2019-10-17 19:48:06,0.0,24.147,120.684,,0.0
227,2019-10-17 19:49:01,0.0,24.147,120.684,,0.0
228,2019-10-17 19:52:22,0.0,25.048,121.532,,0.0
229,2019-10-17 19:54:08,0.0,25.048,121.532,,0.0
230,2019-10-17 19:54:26,0.0,25.048,121.532,,0.0
234,2019-10-19 09:29:11,1.0,23.05,120.55,3.0,
235,2019-10-19 09:30:05,0.0,23.148000000000003,120.47,,1.0
237,2019-10-28 07:28:03,1.0,24.48,121.89,4.0,
238,2019-10-28 07:28:41,0.0,24.757,121.753,,1.0
239,2019-10-28 07:28:46,0.0,25.048,121.532,,0.0
240,2019-11-03 03:26:34,1.0,24.41,121.91,3.0,
241,2019-11-03 03:27:11,0.0,24.757,121.753,,1.0
242,2019-11-03 03:27:30,0.0,25.048,121.532,,0.0
243,2019-11-03 03:27:42,0.0,25.048,121.532,,0.0
244,2019-11-03 03:28:09,0.0,25.048,121.532,,0.0
247,2019-11-04 11:32:17,1.0,24.02,121.51,4.0,
248,2019-11-04 11:32:55,0.0,25.048,121.532,,1.0
250,2019-11-12 02:11:33,1.0,24.88,121.92,2.0,
251,2019-11-12 02:12:31,0.0,25.048,121.532,,1.0
255,2019-11-18 02:56:56,1.0,24.53,121.7,2.0,
256,2019-11-18 02:57:46,0.0,24.147,120.684,,1.0
257,2019-11-18 02:57:47,0.0,25.048,121.532,,0.0
258,2019-11-18 02:57:53,0.0,25.048,121.532,,0.0
259,2019-11-18 02:59:14,0.0,25.048,121.532,,0.0
260,2019-11-23 18:56:32,1.0,22.97,120.17,2.0,
261,2019-11-23 18:57:24,0.0,22.615,120.314,,1.0
