,groupID,Date_format,YouWin,TimeDifference,TimeDifference_Bao,Distance,ShakingExtent,InCenter,City_Translated,IsPeak,OffPeak,PopDensity,download_4G,upload_4G
1,1,2019-05-08 23:49:28,1.0,41.0,0.0,24739.82078576611,2.0,0,NaN,1,0,,,
2,1,2019-05-08 23:56:55,0.0,488.0,447.0,99.95557495207538,2.0,0,臺北,1,0,9662.94,56.01,16.41
5,2,2019-05-10 21:50:07,1.0,37.0,0.0,71.89838484973093,3.0,0,臺北,0,0,9662.94,56.01,16.41
8,3,2019-05-13 16:55:49,1.0,28.0,0.0,49.557931998823925,3.0,0,臺北,1,0,9662.94,56.01,16.41
9,3,2019-05-13 16:55:51,0.0,30.0,2.0,49.557931998823925,3.0,0,臺北,1,0,9662.94,56.01,16.41
10,3,2019-05-13 16:55:54,0.0,33.0,5.0,49.557931998823925,3.0,0,臺北,1,0,9662.94,56.01,16.41
11,3,2019-05-13 16:55:59,0.0,38.0,10.0,49.557931998823925,3.0,0,臺北,1,0,9662.94,56.01,16.41
12,3,2019-05-13 16:56:02,0.0,41.0,13.0,49.557931998823925,3.0,0,臺北,1,0,9662.94,56.01,16.41
13,3,2019-05-13 16:56:04,0.0,43.0,15.0,49.557931998823925,3.0,0,臺北,1,0,9662.94,56.01,16.41
14,3,2019-05-13 16:56:10,0.0,49.0,21.0,49.557931998823925,3.0,0,臺北,1,0,9662.94,56.01,16.41
15,3,2019-05-13 16:56:21,0.0,60.0,32.0,49.557931998823925,3.0,0,臺北,1,0,9662.94,56.01,16.41
16,3,2019-05-13 16:56:22,0.0,61.0,33.0,49.557931998823925,3.0,0,臺北,1,0,9662.94,56.01,16.41
17,3,2019-05-13 16:56:28,0.0,67.0,39.0,94.03825892156893,3.0,0,新竹,1,0,4318.72,51.53,15.0
18,3,2019-05-13 16:56:44,0.0,83.0,55.0,49.557931998823925,3.0,0,臺北,1,0,9662.94,56.01,16.41
19,3,2019-05-13 16:56:46,0.0,85.0,57.0,139.583089076006,3.0,0,台中,1,0,1271.61,65.02,20.52
20,3,2019-05-13 16:56:46,0.0,85.0,57.0,,3.0,0,NaN,1,0,,,
21,3,2019-05-13 16:56:52,0.0,91.0,63.0,49.557931998823925,3.0,0,臺北,1,0,9662.94,56.01,16.41
22,3,2019-05-13 16:57:00,0.0,99.0,71.0,139.583089076006,3.0,0,台中,1,0,1271.61,65.02,20.52
23,3,2019-05-13 16:57:09,0.0,108.0,80.0,49.557931998823925,3.0,0,臺北,1,0,9662.94,56.01,16.41
24,3,2019-05-13 16:57:22,0.0,121.0,93.0,49.557931998823925,3.0,0,臺北,1,0,9662.94,56.01,16.41
25,3,2019-05-13 16:57:44,0.0,143.0,115.0,49.557931998823925,3.0,0,臺北,1,0,9662.94,56.01,16.41
26,3,2019-05-13 16:57:45,0.0,144.0,116.0,156.1759042362172,3.0,0,彰化,1,0,1182.02,62.6,17.19
27,3,2019-05-13 16:58:44,0.0,203.0,175.0,49.557931998823925,3.0,0,臺北,1,0,9662.94,56.01,16.41
28,3,2019-05-13 16:59:08,0.0,227.0,199.0,49.557931998823925,3.0,0,臺北,1,0,9662.94,56.01,16.41
29,3,2019-05-13 17:00:50,0.0,329.0,301.0,153.71629962043787,3.0,0,南投,0,0,120.03,59.2,13.81
30,3,2019-05-13 17:01:31,0.0,370.0,342.0,49.557931998823925,3.0,0,臺北,0,0,9662.94,56.01,16.41
31,3,2019-05-13 17:03:10,0.0,469.0,441.0,284.2781685180916,3.0,0,高雄,0,0,939.35,53.25,15.73
32,3,2019-05-13 17:03:39,0.0,498.0,470.0,49.557931998823925,3.0,0,臺北,0,0,9662.94,56.01,16.41
33,3,2019-05-13 17:04:36,0.0,555.0,527.0,49.557931998823925,3.0,0,臺北,0,0,9662.94,56.01,16.41
36,4,2019-05-19 00:39:45,1.0,71.0,0.0,152.6495074869225,1.0,0,台中,1,0,1271.61,65.02,20.52
37,4,2019-05-19 00:39:45,1.0,71.0,0.0,,1.0,0,NaN,1,0,,,
38,4,2019-05-19 00:40:12,0.0,98.0,27.0,130.21592131532896,1.0,0,臺北,1,0,9662.94,56.01,16.41
39,4,2019-05-19 00:40:40,0.0,126.0,55.0,245.21027114703062,1.0,0,高雄,1,0,939.35,53.25,15.73
45,5,2019-05-22 09:37:45,1.0,21.0,0.0,24659.598075431502,4.0,0,NaN,0,0,,,
47,6,2019-05-23 14:13:10,1.0,21.0,0.0,24650.129373559583,5.0,0,NaN,1,0,,,
48,6,2019-05-23 14:14:38,0.0,109.0,88.0,113.0946131519975,5.0,0,臺北,1,0,9662.94,56.01,16.41
49,6,2019-05-23 14:16:22,0.0,213.0,192.0,198.66990057882484,5.0,0,高雄,1,0,939.35,53.25,15.73
50,6,2019-05-23 14:19:43,0.0,414.0,393.0,113.0946131519975,5.0,0,臺北,1,0,9662.94,56.01,16.41
53,7,2019-05-27 22:07:09,1.0,43.0,0.0,62.526339441870576,2.0,0,臺北,1,0,9662.94,56.01,16.41
54,7,2019-05-27 22:07:09,1.0,43.0,0.0,,2.0,0,NaN,1,0,,,
57,8,2019-05-31 23:53:37,1.0,19.0,0.0,211.29326534700508,4.0,0,新竹,1,0,4318.72,51.53,15.0
58,8,2019-05-31 23:59:26,0.0,368.0,349.0,42.98121049947352,4.0,1,高雄,1,0,939.35,53.25,15.73
65,9,2019-06-04 17:46:46,1.0,28.0,0.0,225.79029966099048,5.0,0,新竹,0,0,4318.72,51.53,15.0
66,9,2019-06-04 17:49:37,0.0,199.0,171.0,133.21533438760034,5.0,0,高雄,0,0,939.35,53.25,15.73
67,9,2019-06-04 17:49:37,0.0,199.0,171.0,,5.0,0,NaN,0,0,,,
68,9,2019-06-04 17:50:10,0.0,232.0,204.0,243.00773091405944,5.0,0,臺北,0,0,9662.94,56.01,16.41
69,9,2019-06-04 17:51:38,0.0,320.0,292.0,243.00773091405944,5.0,0,臺北,0,0,9662.94,56.01,16.41
70,9,2019-06-04 17:54:05,0.0,467.0,439.0,243.00773091405944,5.0,0,臺北,0,0,9662.94,56.01,16.41
74,10,2019-06-06 03:27:46,1.0,26.0,0.0,96.98166278219824,4.0,0,台中,0,0,1271.61,65.02,20.52
76,11,2019-06-26 05:09:08,1.0,34.0,0.0,12.326736145468244,3.0,1,嘉義,0,1,263.38,62.62,20.01
77,11,2019-06-26 05:09:14,0.0,40.0,6.0,51.68394595036286,3.0,0,台南,0,1,857.0,62.18,15.17
78,11,2019-06-26 05:09:32,0.0,58.0,24.0,76.12827768969979,3.0,0,彰化,0,1,1182.02,62.6,17.19
80,12,2019-06-30 00:21:12,1.0,66.0,0.0,65.49272558078599,2.0,0,臺北,1,0,9662.94,56.01,16.41
82,13,2019-06-30 03:45:30,1.0,78.0,0.0,192.973970483068,3.0,0,屏東,0,0,294.05,54.42,14.1
83,13,2019-06-30 03:53:24,0.0,552.0,474.0,229.06448329891788,3.0,0,台南,0,0,857.0,62.18,15.17
86,14,2019-07-07 11:51:49,1.0,46.0,0.0,38.608765844041805,3.0,0,嘉義,0,0,263.38,62.62,20.01
87,14,2019-07-07 11:51:58,0.0,55.0,9.0,33.9415201339008,3.0,0,台南,0,0,857.0,62.18,15.17
88,14,2019-07-07 11:52:22,0.0,79.0,33.0,239.68093542040424,3.0,0,臺北,0,0,9662.94,56.01,16.41
89,14,2019-07-07 11:52:22,0.0,79.0,33.0,,3.0,0,NaN,0,0,,,
92,15,2019-07-12 05:10:38,1.0,31.0,0.0,111.90805406225279,4.0,0,彰化,0,1,1182.02,62.6,17.19
