編號,地震時間,經度,緯度,規模,深度,位置,震度
22,2012/1/1 01:41,121.63,23.96,2.7,9.3,花蓮縣政府南方  3.5  公里 (位於花蓮縣近海)(花蓮縣近海),3
小區域有感地震,2012/1/1 10:30,122.37,25.32,5.6,264.7,基隆市政府東偏北方  66.4  公里 (位於台灣東北部海域)(台灣東北部海域),2
小區域有感地震,2012/1/1 18:46,121.62,24.01,2.9,9.1,花蓮縣政府北方  1.9  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市),3
小區域有感地震,2012/1/1 18:47,121.62,24.01,2.5,9.1,花蓮縣政府北方  1.9  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市),2
小區域有感地震,2012/1/1 22:23,121.63,24.01,2.6,8.2,花蓮縣政府北偏東方  2.5  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市),2
小區域有感地震,2012/1/4 11:35,120.61,23.77,3,21.4,雲林縣政府東北方  11.6  公里 (位於雲林縣林內鄉)(雲林縣林內鄉),1
小區域有感地震,2012/1/4 14:53,121.62,23.96,2.8,8.5,花蓮縣政府南方  3.1  公里 (位於花蓮縣近海)(花蓮縣近海),3
小區域有感地震,2012/1/4 14:53,121.61,23.97,2.6,8.2,花蓮縣政府南偏西方  2.7  公里 (位於花蓮縣近海)(花蓮縣近海),3
小區域有感地震,2012/1/4 14:56,121.95,24.39,3.3,19.6,宜蘭縣政府南偏東方  41.8  公里 (位於台灣東部海域)(台灣東部海域),3
小區域有感地震,2012/1/4 14:59,121.6,23.96,2.1,5.7,花蓮縣政府西南方  3.9  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉),1
小區域有感地震,2012/1/4 17:17,121.62,23.96,2.8,7.6,花蓮縣政府南方  3.4  公里 (位於花蓮縣近海)(花蓮縣近海),2
小區域有感地震,2012/1/4 21:21,121.59,23.95,2.2,5.6,花蓮縣政府西南方  4.9  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉),1
21,2012/1/4 21:22,121.63,23.95,3.7,8.5,花蓮縣政府南方  4.6  公里 (位於花蓮縣近海)(花蓮縣近海),3
小區域有感地震,2012/1/4 21:24,121.61,23.95,2.5,6.5,花蓮縣政府南偏西方  4.3  公里 (位於花蓮縣近海)(花蓮縣近海),2
20,2012/1/4 22:41,122.2,24.89,5,124.3,宜蘭縣政府東偏北方  47.4  公里 (位於台灣東部海域)(台灣東部海域),2
小區域有感地震,2012/1/4 22:42,121.57,23.26,4.2,38,台東縣政府東北方  71.0  公里 (位於台灣東部海域)(台灣東部海域),3
小區域有感地震,2012/1/5 02:36,121.42,23.76,2.9,22.5,花蓮縣政府西南方  32.8  公里 (位於花蓮縣鳳林鎮)(花蓮縣鳳林鎮),2
小區域有感地震,2012/1/5 09:48,120.46,24.05,2.9,23.7,彰化縣政府西偏南方  9.1  公里 (位於彰化縣福興鄉)(彰化縣福興鄉),1
小區域有感地震,2012/1/5 10:30,121.94,23.56,4.2,21.3,花蓮縣政府東南方  57.6  公里 (位於台灣東部海域)(台灣東部海域),2
小區域有感地震,2012/1/5 23:45,121.66,23.9,3.2,24.4,花蓮縣政府南偏東方  11.0  公里 (位於花蓮縣近海)(花蓮縣近海),1
小區域有感地震,2012/1/6 00:32,121.1,23.96,3.7,11.1,南投縣政府東方  42.5  公里 (位於南投縣仁愛鄉)(南投縣仁愛鄉),2
小區域有感地震,2012/1/7 05:40,121.43,22.98,3.2,12.9,台東縣政府東北方  38.5  公里 (位於台灣東部海域)(台灣東部海域),2
19,2012/1/9 11:40,120.42,22.4,3.5,30.4,高雄市政府南偏東方  27.0  公里 (位於屏東縣近海)(屏東縣近海),2
